product_name,brand,price,category,description,sustainability_label,clean_text
Rias Jaipur Ponzo Halter Neck Maxi,rias-jaipur,"₹12,000",,Rias Jaipur Ponzo Halter Neck Maxi,1,rias jaipur ponzo halter neck maxi
Baggit Women Hero Brush Black Wallet,unknown,,Accessories,Baggit Women Hero Brush Black Wallet,0,baggit women hero brush black wallet
Streetwear Smooch Lip Gloss 42,unknown,,Personal Care,Streetwear Smooch Lip Gloss 42,0,streetwear smooch lip gloss
Something Sustainable Organic Cotton Marigold Reversible Shirt,something-sustainable,"₹9,500",,Something Sustainable Organic Cotton Marigold Reversible Shirt,1,something sustainable organic cotton marigold reversible shirt
Fabindia Women Printed Rust Skirt,unknown,,Apparel,Fabindia Women Printed Rust Skirt,0,fabindia women printed rust skirt
East 14  Cupro Crepe Women Black Greenley Bustier,east-14,"₹6,000",,East 14  Cupro Crepe Women Black Greenley Bustier,1,east cupro crepe women black greenley bustier
Nike Women Black Capris,unknown,,Apparel,Nike Women Black Capris,0,women black capris
Un Denim - Crossbody Sling Bag with Bottle Holder,un-denim,₹807,,Un Denim - Crossbody Sling Bag with Bottle Holder,1,un denim crossbody sling bag with bottle holder
Neora by Nehal Chopra Purple Co-ord Set,neora-by-nehal-chopra,"₹9,990",,Neora by Nehal Chopra Purple Co-ord Set,1,neora by nehal chopra purple co ord set
Nike Women Main Draw White Blue Shoe,unknown,,Footwear,Nike Women Main Draw White Blue Shoe,0,women main draw white blue shoe
Rias Jaipur Escher Skirt,rias-jaipur,"₹8,900",,Rias Jaipur Escher Skirt,1,rias jaipur escher skirt
Neora by Nehal Chopra Pink-Green Braided Long Kaftan,neora-by-nehal-chopra,"₹7,990",,Neora by Nehal Chopra Pink-Green Braided Long Kaftan,1,neora by nehal chopra pink green braided long kaftan
Forest Green Khadi Shirt,ac-by-aratrika-chauhan,"₹2,700",,Forest Green Khadi Shirt,1,forest green shirt
Vital Gear Unisex Black Laptop Bag,unknown,,Accessories,Vital Gear Unisex Black Laptop Bag,0,vital gear unisex black laptop bag
The House of Hemp Ruby Red Blush Coord,the-house-of-hemp,"₹13,000",,The House of Hemp Ruby Red Blush Coord,1,the house of hemp ruby red blush coord
Puma Men Faas 300 Blue Sports Shoes,unknown,,Footwear,Puma Men Faas 300 Blue Sports Shoes,0,men faas blue sports shoes
Anushé Pirani Handwoven Cotton Ikat Men's Grey Shirt,anushe-pirani%20,"₹6,600",,Anushé Pirani Handwoven Cotton Ikat Men's Grey Shirt,1,anush pirani handwoven cotton ikat men s grey shirt
Lafaani Phosphene Extra Flap Shirt,lafaani,"₹9,799",,Lafaani Phosphene Extra Flap Shirt,1,lafaani phosphene extra flap shirt
Gini Jony Boys Brown Shorts,unknown,,Apparel,Gini Jony Boys Brown Shorts,0,gini jony boys brown shorts
Oakley Women Black Forsake Sunglasses,unknown,,Accessories,Oakley Women Black Forsake Sunglasses,0,oakley women black forsake sunglasses
Aneri Women Multi Coloured Tunic,unknown,,Apparel,Aneri Women Multi Coloured Tunic,0,aneri women multi coloured tunic
AC By Aratrika Chauhan 100% Organic Handloom Cotton Silver Cream Skirt- Top - Jacket,ac-by-aratrika-chauhan,"₹6,500",,AC By Aratrika Chauhan 100% Organic Handloom Cotton Silver Cream Skirt- Top - Jacket,1,ac by aratrika chauhan organic handloom cotton silver cream skirt top jacket
Maxima Women White Dial Watch,unknown,,Accessories,Maxima Women White Dial Watch,0,maxima women white dial watch
The House of Hemp Lemon Yellow Key to Life Coord,the-house-of-hemp,"₹9,500",,The House of Hemp Lemon Yellow Key to Life Coord,1,the house of hemp lemon yellow key to life coord
Studio Amala Emerald Envy Women's Designer Satin Shirt,studio-amala,"₹6,900",,Studio Amala Emerald Envy Women's Designer Satin Shirt,1,studio amala emerald envy women s designer satin shirt
Studio Amala Sundown Spice Cotton Women's Rust Orange Coordinated Set,studio-amala,"₹22,300",,Studio Amala Sundown Spice Cotton Women's Rust Orange Coordinated Set,1,studio amala sundown spice cotton women s rust orange coordinated set
Neora by Nehal Chopra Pink Skirt,neora-by-nehal-chopra,"₹9,490",,Neora by Nehal Chopra Pink Skirt,1,neora by nehal chopra pink skirt
Kiara Women Glossy Red Handbag,unknown,,Accessories,Kiara Women Glossy Red Handbag,0,kiara women glossy red handbag
Royal Diadem Purple Earrings,unknown,,Accessories,Royal Diadem Purple Earrings,0,royal diadem purple earrings
Hush Puppies Men Chevelle Black Formal Shoes,unknown,,Footwear,Hush Puppies Men Chevelle Black Formal Shoes,0,hush puppies men chevelle black formal shoes
Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | 188,un-denim,"₹3,999",,Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | 188,1,un denim cotton unisex upcycled denim gilet jacket
Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | G156,un-denim,"₹3,999",,Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | G156,1,un denim cotton unisex upcycled denim gilet jacket g
Un Denim  - Light Indigo Half-Sleeved Shirt | Lightweight Denim,un-denim,"₹2,239",,Un Denim  - Light Indigo Half-Sleeved Shirt | Lightweight Denim,1,un denim light indigo half sleeved shirt lightweight denim
Levis Men Check Navy Blue Shirts,unknown,,Apparel,Levis Men Check Navy Blue Shirts,0,levis men check navy blue shirts
Rias Jaipur Plosky Cloud Shirt Dress,rias-jaipur,"₹9,500",,Rias Jaipur Plosky Cloud Shirt Dress,1,rias jaipur plosky cloud shirt dress
Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | G160,un-denim,"₹3,999",,Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | G160,1,un denim cotton unisex upcycled denim gilet jacket g
Numero Uno Men's Black Light Shoe,unknown,,Footwear,Numero Uno Men's Black Light Shoe,0,numero uno men s black light shoe
Rias Jaipur Plosky Cloud Shirt With Culottes,rias-jaipur,"₹14,300",,Rias Jaipur Plosky Cloud Shirt With Culottes,1,rias jaipur plosky cloud shirt with culottes
Mr.Men Men's Strong Light Purple T-shirt,unknown,,Apparel,Mr.Men Men's Strong Light Purple T-shirt,0,mr men men s strong light purple t shirt
Studio Amala Rouge Velvet Royale Midi Skater Dress,studio-amala,"₹12,300",,Studio Amala Rouge Velvet Royale Midi Skater Dress,1,studio amala rouge velvet royale midi skater dress
Amante Black T-shirt Bra BCMF02,unknown,,Apparel,Amante Black T-shirt Bra BCMF02,0,amante black t shirt bra bcmf
Earthy Route Lyocell Linen Full Sleeve Shirt in Fresh Green,earthy-route,"₹2,061",,Earthy Route Lyocell Linen Full Sleeve Shirt in Fresh Green,1,earthy route lyocell linen full sleeve shirt in fresh green
Enamor Youth Green Bra,unknown,,Apparel,Enamor Youth Green Bra,0,enamor youth green bra
East 14  Cupro Crepe Women Serabeth Skirt,east-14,"₹10,999",,East 14  Cupro Crepe Women Serabeth Skirt,1,east cupro crepe women serabeth skirt
Studio Amala Frosted Pearl White Linen Blazer Dress,studio-amala,"₹23,200",,Studio Amala Frosted Pearl White Linen Blazer Dress,1,studio amala frosted pearl white linen blazer dress
Doodle Kids Girls White I love Shopping Top,unknown,,Apparel,Doodle Kids Girls White I love Shopping Top,0,doodle kids girls white i love shopping top
Bwitch Red Bra,unknown,,Apparel,Bwitch Red Bra,0,bwitch red bra
Timberland Men Black Floater,unknown,,Footwear,Timberland Men Black Floater,0,timberland men black floater
Locomotive Men Check Ladomar White Shirts,unknown,,Apparel,Locomotive Men Check Ladomar White Shirts,0,locomotive men check ladomar white shirts
Slowthreads Kala Cotton Womens Yellow Kaftan Dress,slowthreads,"₹6,975",,Slowthreads Kala Cotton Womens Yellow Kaftan Dress,1,slowthreads kala cotton womens yellow kaftan dress
Neora by Nehal Chopra Purple-Green Braided Kaftan Co-ord Set,neora-by-nehal-chopra,"₹9,990",,Neora by Nehal Chopra Purple-Green Braided Kaftan Co-ord Set,1,neora by nehal chopra purple green braided kaftan co ord set
Lafaani Phosphene Faux Flap Shirt,lafaani,"₹9,499",,Lafaani Phosphene Faux Flap Shirt,1,lafaani phosphene faux flap shirt
Reebok Men Speed mode Running White Shoes,unknown,,Footwear,Reebok Men Speed mode Running White Shoes,0,reebok men speed mode running white shoes
Forever New Women Ditsy Print White Top,unknown,,Apparel,Forever New Women Ditsy Print White Top,0,forever new women ditsy print white top
Anushé Pirani Handwoven Cotton Ikat Men's Royal Blue Shorts,anushe-pirani%20,"₹5,500",,Anushé Pirani Handwoven Cotton Ikat Men's Royal Blue Shorts,1,anush pirani handwoven cotton ikat men s royal blue shorts
s.Oliver Women Meganta Printed T-Shirt,unknown,,Apparel,s.Oliver Women Meganta Printed T-Shirt,0,s oliver women meganta printed t shirt
Shree Women Multi Colored Patiala,unknown,,Apparel,Shree Women Multi Colored Patiala,0,shree women multi colored patiala
Earth Republic 100% Recycled Satin Fairy Dust Handcrafted Top,earth-republic,"₹3,990",,Earth Republic 100% Recycled Satin Fairy Dust Handcrafted Top,1,earth republic recycled satin fairy dust handcrafted top
Earthy Route Rust Orange · Mandarin Collar Shirt,earthy-route,"₹1,971",,Earthy Route Rust Orange · Mandarin Collar Shirt,1,earthy route rust orange mandarin collar shirt
Timberland Men Tan Casual Shoes,unknown,,Footwear,Timberland Men Tan Casual Shoes,0,timberland men tan casual shoes
Anushé Pirani Handwoven Cotton Ikat Men's Pink Pants,anushe-pirani%20,"₹6,900",,Anushé Pirani Handwoven Cotton Ikat Men's Pink Pants,1,anush pirani handwoven cotton ikat men s pink pants
Enamor Red Smooth Bra,unknown,,Apparel,Enamor Red Smooth Bra,0,enamor red smooth bra
anushé pirani Recycled Cotton Men Tangerine Shirt,anushe-pirani%20,"₹6,200",,anushé pirani Recycled Cotton Men Tangerine Shirt,1,anush pirani recycled cotton men tangerine shirt
United Colors of Benetton Kids Girls White T-shirt,unknown,,Apparel,United Colors of Benetton Kids Girls White T-shirt,0,united colors of benetton kids girls white t shirt
Allen Solly Women Thin Silver Frame Sunglasses,unknown,,Accessories,Allen Solly Women Thin Silver Frame Sunglasses,0,allen solly women thin silver frame sunglasses
Woodland Men Green Shoes,unknown,,Footwear,Woodland Men Green Shoes,0,woodland men green shoes
Un Denim - 100% Cotton Unisex Upcycled Denim Kimono Jacket | 228,un-denim,"₹4,799",,Un Denim - 100% Cotton Unisex Upcycled Denim Kimono Jacket | 228,1,un denim cotton unisex upcycled denim kimono jacket
Locomotive Men's Ribbed Neck Brown T-shirt,unknown,,Apparel,Locomotive Men's Ribbed Neck Brown T-shirt,0,locomotive men s ribbed neck brown t shirt
FNF Orange & Cream Collection For Wedding Sari,unknown,,Apparel,FNF Orange & Cream Collection For Wedding Sari,0,fnf orange cream collection for wedding sari
Something Sustainable  Celestial SOS Organic Cotton T-shirt,something-sustainable,"₹1,500",,Something Sustainable  Celestial SOS Organic Cotton T-shirt,1,something sustainable celestial sos organic cotton t shirt
ADIDAS Men Green Color Can Casual Shoes,unknown,,Footwear,ADIDAS Men Green Color Can Casual Shoes,0,men green color can casual shoes
Miki Pearl Women Ivory Jewellery Set,unknown,,Accessories,Miki Pearl Women Ivory Jewellery Set,0,miki pearl women ivory jewellery set
Something Sustainable  Petal Pleated Dress in Organic Cotton,something-sustainable,"₹3,299",,Something Sustainable  Petal Pleated Dress in Organic Cotton,1,something sustainable petal pleated dress in organic cotton
Anushé Pirani Handwoven Cotton Ikat Men's Turquoise Pants,anushe-pirani%20,"₹7,500",,Anushé Pirani Handwoven Cotton Ikat Men's Turquoise Pants,1,anush pirani handwoven cotton ikat men s turquoise pants
Enroute Women Turquoise Blue Flats,unknown,,Footwear,Enroute Women Turquoise Blue Flats,0,enroute women turquoise blue flats
Converse Unisex Green Tongue Triple Color Casual Shoes,unknown,,Footwear,Converse Unisex Green Tongue Triple Color Casual Shoes,0,converse unisex green tongue triple color casual shoes
AND Women Pink Dress,unknown,,Apparel,AND Women Pink Dress,0,and women pink dress
Nike Unisex Manchester United Red Black Cap,unknown,,Accessories,Nike Unisex Manchester United Red Black Cap,0,unisex manchester united red black cap
ADIDAS Women Vines Yellow Flip Flops,unknown,,Footwear,ADIDAS Women Vines Yellow Flip Flops,0,women vines yellow flip flops
ADIDAS Men's Cv Str Green Polo T-Shirt,unknown,,Apparel,ADIDAS Men's Cv Str Green Polo T-Shirt,0,men s cv str green polo t shirt
HM Women Black Heels,unknown,,Footwear,HM Women Black Heels,0,hm women black heels
Kiara Women Grey Handbag,unknown,,Accessories,Kiara Women Grey Handbag,0,kiara women grey handbag
East 14  Cupro Crepe Women Groove Dress,east-14,"₹15,999",,East 14  Cupro Crepe Women Groove Dress,1,east cupro crepe women groove dress
Baggit Women Bleed Taj Brown Wallet,unknown,,Accessories,Baggit Women Bleed Taj Brown Wallet,0,baggit women bleed taj brown wallet
Slowthreads Kala Cotton Womens Maroon Wrap Dress,slowthreads,"₹5,500",,Slowthreads Kala Cotton Womens Maroon Wrap Dress,1,slowthreads kala cotton womens maroon wrap dress
Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | G161,un-denim,"₹3,999",,Un Denim - 100% Cotton Unisex Upcycled Denim Gilet Jacket | G161,1,un denim cotton unisex upcycled denim gilet jacket g
